STUSPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
WA	5300100	02409655	Aberdeen city	27591186	4417999	10.653	1.706	46.976677	-123.809718
WA	5300135	02407691	Aberdeen Gardens CDP	4206214	68835	1.624	0.027	47.057318	-123.777916
WA	5300275	02407694	Acme CDP	15906992	10108	6.142	0.004	48.719819	-122.238643
WA	5300380	02586726	Addy CDP	913731	0	0.353	0.000	48.358909	-117.837185
WA	5300800	02407700	Ahtanum CDP	20258272	0	7.822	0.000	46.558355	-120.606161
WA	5300905	02409668	Airway Heights city	14583226	0	5.631	0.000	47.644293	-117.582903
WA	5301010	02412345	Albion town	920109	0	0.355	0.000	46.791984	-117.250758
WA	5301045	02584941	Alder CDP	8322275	69720	3.213	0.027	46.788923	-122.265707
WA	5301150	02584942	Alderton CDP	13841047	357462	5.344	0.138	47.171046	-122.219643
WA	5301185	02407714	Alderwood Manor CDP	5070153	0	1.958	0.000	47.814550	-122.267670
WA	5301255	02407717	Alger CDP	6722302	15710	2.595	0.006	48.610811	-122.329877
WA	5301290	02409680	Algona city	3347239	0	1.292	0.000	47.281954	-122.250388
WA	5301430	02586727	Allyn CDP	4085178	210009	1.577	0.081	47.386445	-122.839084
WA	5301500	02412352	Almira town	1347097	0	0.520	0.000	47.710605	-118.936929
WA	5301745	02584943	Altoona CDP	13185911	0	5.091	0.000	46.269933	-123.614930
WA	5301780	02584944	Amanda Park CDP	21294534	713913	8.222	0.276	47.446880	-123.925674
WA	5301850	02407738	Amboy CDP	25863768	41437	9.986	0.016	45.916967	-122.478220
WA	5301920	02407739	Ames Lake CDP	4142309	310819	1.599	0.120	47.633955	-121.960611
WA	5301990	02409702	Anacortes city	30427206	9800282	11.748	3.784	48.488725	-122.623980
WA	5302060	02584945	Anderson Island CDP	20047917	1240657	7.741	0.479	47.151004	-122.695440
WA	5302585	02409732	Arlington city	23966241	13346	9.253	0.005	48.168798	-122.148425
WA	5302620	02407761	Arlington Heights CDP	21749018	0	8.397	0.000	48.211920	-122.063006
WA	5302910	02407769	Artondale CDP	35182590	653895	13.584	0.252	47.303459	-122.652750
WA	5303005	02407772	Ashford CDP	5268630	80647	2.034	0.031	46.751096	-122.020297
WA	5303075	02409742	Asotin city	2709545	368482	1.046	0.142	46.333830	-117.039456
WA	5303180	02409755	Auburn city	76717609	693875	29.621	0.268	47.303767	-122.210530
WA	5303736	02409770	Bainbridge Island city	71512405	96890762	27.611	37.410	47.649254	-122.514838
WA	5304100	02407795	Bangor Base CDP	28766162	75967	11.107	0.029	47.722257	-122.714126
WA	5304125	01852937	Banks Lake South CDP	6309492	1207020	2.436	0.466	47.630073	-119.274437
WA	5304195	02407796	Barberton CDP	11196725	0	4.323	0.000	45.713620	-122.611398
WA	5304300	02407797	Baring CDP	2695150	235007	1.041	0.091	47.768598	-121.481977
WA	5304347	02631207	Barney's Junction CDP	674122	0	0.260	0.000	48.620395	-118.128962
WA	5304370	02631208	Barstow CDP	1450637	0	0.560	0.000	48.778304	-118.132862
WA	5304405	02407802	Basin City CDP	8260572	0	3.189	0.000	46.589039	-119.156647
WA	5304475	02409796	Battle Ground city	18541849	0	7.159	0.000	45.776972	-122.540766
WA	5304615	02407807	Bay Center CDP	2437720	0	0.941	0.000	46.620753	-123.953182
WA	5304790	02407809	Bay View CDP	6726558	0	2.597	0.000	48.487000	-122.462553
WA	5304895	02411673	Beaux Arts Village town	219287	210555	0.085	0.081	47.585673	-122.204563
WA	5305140	02586728	Belfair CDP	19038668	2058	7.351	0.001	47.448944	-122.849111
WA	5305210	02409821	Bellevue city	82795861	11664534	31.968	4.504	47.597839	-122.156490
WA	5305245	02407826	Bell Hill CDP	6860705	0	2.649	0.000	48.054946	-123.086952
WA	5305280	02409823	Bellingham city	70135294	4725256	27.079	1.824	48.752620	-122.469657
WA	5305560	02409836	Benton City city	6375466	66332	2.462	0.026	46.263743	-119.478874
WA	5305735	02584946	Bethel CDP	8571416	0	3.309	0.000	47.487872	-122.618343
WA	5305980	02407836	Bickleton CDP	12132965	0	4.685	0.000	46.005641	-120.307980
WA	5306050	02407841	Big Lake CDP	9823600	2168866	3.793	0.837	48.383133	-122.226064
WA	5306085	02409850	Bingen city	1607378	200502	0.621	0.077	45.714728	-121.468196
WA	5306190	02407850	Birch Bay CDP	41471234	121400	16.012	0.047	48.896452	-122.738463
WA	5306330	02409855	Black Diamond city	15578190	1659717	6.015	0.641	47.314746	-122.017696
WA	5306505	02409860	Blaine city	14574306	7255246	5.627	2.801	48.984936	-122.744986
WA	5306855	02407871	Blyn CDP	12273291	413246	4.739	0.160	48.008191	-122.981256
WA	5307170	02409880	Bonney Lake city	20569437	174970	7.942	0.068	47.199502	-122.163033
WA	5307380	02409882	Bothell city	31377532	0	12.115	0.000	47.776857	-122.204997
WA	5307390	02584947	Bothell East CDP	5314721	0	2.052	0.000	47.806511	-122.184306
WA	5307395	02584948	Bothell West CDP	10921353	0	4.217	0.000	47.805218	-122.240703
WA	5307397	02584949	Boulevard Park CDP	3986295	194040	1.539	0.075	47.512172	-122.313151
WA	5307485	02631347	Boyds CDP	503945	0	0.195	0.000	48.724435	-118.132084
WA	5307590	02407900	Brady CDP	15830944	59049	6.112	0.023	47.004678	-123.542053
WA	5307695	02409899	Bremerton city	73574764	10042021	28.407	3.877	47.539801	-122.716971
WA	5307835	02409903	Brewster city	3069702	8511	1.185	0.003	48.108548	-119.772214
WA	5307870	02409908	Bridgeport city	2713489	842	1.048	0.000	48.006287	-119.673431
WA	5307940	02409909	Brier city	5515114	0	2.129	0.000	47.792450	-122.273710
WA	5308080	02407906	Brinnon CDP	24886859	656476	9.609	0.253	47.668614	-122.916600
WA	5308335	02584950	Browns Point CDP	1043706	0	0.403	0.000	47.304046	-122.436548
WA	5308465	02407913	Brush Prairie CDP	20349372	0	7.857	0.000	45.725612	-122.547727
WA	5308500	02584951	Bryant CDP	15906112	86909	6.141	0.034	48.248420	-122.174430
WA	5308552	02407916	Bryn Mawr-Skyway CDP	7351066	446720	2.838	0.172	47.493981	-122.244258
WA	5308570	02409929	Buckley city	10028084	204093	3.872	0.079	47.158779	-122.020241
WA	5308605	02411738	Bucoda town	1479292	49664	0.571	0.019	46.796568	-122.867213
WA	5308640	02584952	Buena CDP	1762189	0	0.680	0.000	46.429928	-120.317577
WA	5308770	02584953	Bunk Foss CDP	10033509	0	3.874	0.000	47.961686	-122.094387
WA	5308780	02407925	Burbank CDP	34144348	4151811	13.183	1.603	46.191949	-118.978639
WA	5308850	02409940	Burien city	19216860	15036359	7.420	5.806	47.469171	-122.364291
WA	5308885	02584954	Burley CDP	12340013	387360	4.765	0.150	47.415957	-122.644705
WA	5308920	02409947	Burlington city	11027001	420490	4.258	0.162	48.466358	-122.329037
WA	5309480	02409967	Camas city	34933142	4567308	13.488	1.763	45.605660	-122.431169
WA	5309810	02584955	Canterwood CDP	5606282	0	2.165	0.000	47.376488	-122.602169
WA	5309820	02408453	Canyon Creek CDP	15813654	316468	6.106	0.122	48.110338	-121.982827
WA	5309970	02413165	Carbonado town	1078204	2545	0.416	0.001	47.084013	-122.050535
WA	5310075	02407965	Carlsborg CDP	2742580	0	1.059	0.000	48.084162	-123.169667
WA	5310215	02409989	Carnation city	2993292	53243	1.156	0.021	47.644248	-121.900811
